question,answer
What type of course is The entrepreneurship and the Startup?,The entrepreneurship and the Startup is classified as a Theory course.
Are there any additional notes for The entrepreneurship and the Startup?,Notes: The Tagua student can't be accepted.
What is the course code for Lead Design 4?,The course code for Lead Design 4 is GUID400002.
Who is the instructor for Lead Design 4?,The instructor of Lead Design 4 is PARK GUYS.
How many credits is Lead Design 4 worth?,Lead Design 4 is worth 1.0 credits.
When and where is Lead Design 4 held?,Lead Design 4 is held at Fire 10 in Green energy tube (209).
What type of course is Lead Design 4?,Lead Design 4 is classified as a Theory course.
Are there any additional notes for Lead Design 4?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is Tattoo Rock.
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Month 6,7,8,9 in Green energy tube (209)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is Chromorrhea.
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Number 1, 2, 3, 4. in Green energy tube (209)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is PARK GUYS.
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Number 1, 2, 3, 4. in Green energy tube (312)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is Five - wheeled stone..
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Woods 1, 2, 3, 4. in Green energy tube (209)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is Munju Hyun.
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Month 6,7,8,9 in Green energy tube (508)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for Inventive engineering design.?,The course code for Inventive engineering design. is BNPE4212.
Who is the instructor for Inventive engineering design.?,The instructor of Inventive engineering design. is Yoon Young-chil.
How many credits is Inventive engineering design. worth?,Inventive engineering design. is worth 3.0 credits.
When and where is Inventive engineering design. held?,"Inventive engineering design. is held at Number 1, 2, 3, 4. in Green energy tube (104)."
What type of course is Inventive engineering design.?,Inventive engineering design. is classified as a Theoretical Practice course.
Are there any additional notes for Inventive engineering design.?,Notes: The Tagua student can't be accepted.
What is the course code for The Design of Smart Technology?,The course code for The Design of Smart Technology is PROJ1006.
Who is the instructor for The Design of Smart Technology?,The instructor of The Design of Smart Technology is Good right-wing.
How many credits is The Design of Smart Technology worth?,The Design of Smart Technology is worth 3.0 credits.
When and where is The Design of Smart Technology held?,"The Design of Smart Technology is held at Woods 1, 2, 3, 4. in Green energy tube (811)."
What type of course is The Design of Smart Technology?,The Design of Smart Technology is classified as a Theoretical Practice course.
Are there any additional notes for The Design of Smart Technology?,Notes: Nan
What is the course code for Fusion Engineering Autumn 2?,The course code for Fusion Engineering Autumn 2 is CCEG1102.
Who is the instructor for Fusion Engineering Autumn 2?,The instructor of Fusion Engineering Autumn 2 is Kim Min-hong..
How many credits is Fusion Engineering Autumn 2 worth?,Fusion Engineering Autumn 2 is worth 3.0 credits.
When and where is Fusion Engineering Autumn 2 held?,"Fusion Engineering Autumn 2 is held at Figure 6, 7, 8, 9. in Green energy tube (811)."
What type of course is Fusion Engineering Autumn 2?,Fusion Engineering Autumn 2 is classified as a Theoretical Practice course.
Are there any additional notes for Fusion Engineering Autumn 2?,Notes: We're going from 2024th grade to essential 2025th grade to major choice.
What is the course code for The Understanding of Fusion Engineering?,The course code for The Understanding of Fusion Engineering is CCEG110004.
